framework,workload,target_parameter,target_value,row_multiplicity,methods,representative_run_id,deepest_milestone,normalized_signature
deepspeed,chatglm3-train,model.num_query_groups,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-0eb2bc57587e6f62,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,chatglm3-train,model.num_query_groups,-2,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-4d9e9cc9053d3169,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,chatglm3-train,model.num_query_groups,-6,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-bfe3ebca01549deb,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,chatglm3-train,model.num_query_groups,0,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-eae8399069b29f03,argument_parsing,ZeroDivisionError: integer division or modulo by zero
deepspeed,chatglm3-train,model.num_query_groups,10,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-71a712fb788be5e2,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,16,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-93743d18e91eb799,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,3,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-2df1bde6e936c127,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,5,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-edf295c4f95c105a,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,6,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-ceec4791567ef232,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,7,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-b05fa71eb0e989ad,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.num_query_groups,9,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-0e5ad38fd9aba651,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,chatglm3-train,model.seq_length,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-748282fdb0734aa0,process_group_initialization,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]"
deepspeed,chatglm3-train,model.vocab_size,1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-a6ada6c816c2f9ff,process_group_initialization,"RuntimeError: random_ expects 'from' to be less than 'to', but got from=<N> >= to=<N>"
deepspeed,cogvideox-train,video.frames,-3,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-2072fb3165536868,argument_parsing,RuntimeError: upper bound and lower bound inconsistent with step sign
deepspeed,cogvideox-train,video.in_channels,-4,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-1e770594b403da10,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>, <N>, <N>]"
deepspeed,cogvideox-train,video.out_channels,-4,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-b64f6f65d15eab78,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,cogvideox-train,video.out_channels,0,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-bf788b78e42b0a96,forward,KeyError: <N>
deepspeed,cogvideox-train,video.patch_size,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-96e86708060c6e7a,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, <N>, -<N>, -<N>]"
deepspeed,cogvideox-train,video.patch_size,-2,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-e9777f64db813a1c,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, <N>, -<N>, -<N>]"
deepspeed,cogvideox-train,video.patch_size,-6,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-4d83ecdec45e81ac,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, <N>, -<N>, -<N>]"
deepspeed,cogvideox-train,video.patch_size,0,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-f7e6dfd979a8ee30,argument_parsing,ZeroDivisionError: integer division or modulo by zero
deepspeed,cogvideox-train,video.temporal_compression_ratio,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-c80a9531208683c5,argument_parsing,RuntimeError: upper bound and lower bound inconsistent with step sign
deepspeed,cogvideox-train,video.temporal_compression_ratio,-2,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-f59b5b45219f2e69,argument_parsing,RuntimeError: upper bound and lower bound inconsistent with step sign
deepspeed,cogvideox-train,video.temporal_compression_ratio,-3,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-49ba0ee66f00c33d,argument_parsing,RuntimeError: upper bound and lower bound inconsistent with step sign
deepspeed,deepseekv3-train,mla.kv_lora_rank,60,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-cfdf91a9d8e55b7c,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.kv_lora_rank,65,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-ba7594792f2bfc7f,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.kv_lora_rank,66,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-a435058084c35511,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.kv_lora_rank,67,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-422868a84d9a36ee,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.kv_lora_rank,68,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-9562d4b10a2103b7,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.q_lora_rank,124,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-d9e47a115b17960a,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.q_lora_rank,129,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-2edf314e34f24f53,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.q_lora_rank,130,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-7de0dc08c8f2b00f,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.q_lora_rank,131,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-17baf7847973eb96,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.q_lora_rank,132,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-c8373e1c0b575ed1,process_group_initialization,RuntimeError: expected data_ptr to be aligned to <N> bytes
deepspeed,deepseekv3-train,mla.qk_rope_head_dim,33,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-ab6c7d1c7b027086,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,deepseekv3-train,mla.qk_rope_head_dim,35,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-415a636fac0bcc3e,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,deepseekv3-train,moe.moe_router_num_groups,-1,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-526bce3495f47f97,process_group_initialization,RuntimeError: only one dimension can be inferred
deepspeed,deepseekv3-train,moe.moe_router_num_groups,-2,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-b80b80e7d9016247,process_group_initialization,"RuntimeError: invalid shape dimension -<N> at index <N> of shape [-<N>, -<N>, -<N>]"
deepspeed,deepseekv3-train,moe.moe_router_num_groups,10,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-545ca4115010630f,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_num_groups,3,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-cbb652041091dedf,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_num_groups,4,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-f6524ea2e62ceca8,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_num_groups,5,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-10cc1c1b1321aa35,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_num_groups,6,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-bb72d3313ec30ad5,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_topk,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-c5bae9d2ebe63c64,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_topk,10,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-6527d05120aeb682,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_topk,5,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-0f0e0331c1ebc28a,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.moe_router_topk,6,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-81cadc79474d58e7,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.n_shared_experts,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-d3393b5e170b0ebf,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,deepseekv3-train,moe.num_experts,-4,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-7350a94b7b81eb1b,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>, <N>]"
deepspeed,deepseekv3-train,moe.num_experts,7,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-242d815cec22a03b,process_group_initialization,"RuntimeError: shape '[-<N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,deepseekv3-train,moe.topk_group,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-88437357d3496539,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.topk_group,3,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-79193ef81c7a38c2,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.topk_group,4,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-7701bf52fb319fc3,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.topk_group,5,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-03927f7e45b14f13,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,deepseekv3-train,moe.topk_group,9,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-36fec285d49eacbe,process_group_initialization,RuntimeError: selected index k out of range
deepspeed,internvl3-train,model.hidden_size,504,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-97ca1cb905c9c0dd,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.hidden_size,508,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-d3be283d127422f6,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.hidden_size,509,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-f91003d8d0617f55,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.hidden_size,514,1,static_hard_configfuzz,rq3-current-deepspeed-df4adc6c3e03084e,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.hidden_size,520,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-07db305226a3e2c4,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_attention_heads,0,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-4b3b37bbca1b5d9f,argument_parsing,ZeroDivisionError: integer division or modulo by zero
deepspeed,internvl3-train,model.num_attention_heads,10,5,configfuzz;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-5d125be07086987f,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_attention_heads,11,3,native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-2181a42335e049c0,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_attention_heads,12,1,static_hard_configfuzz,rq3-current-deepspeed-1d1f334e4e79c2a7,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_attention_heads,5,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-66ff19347c2481f0,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,internvl3-train,model.num_attention_heads,9,3,native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-df0f48cf3e821d92,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_query_groups,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-c34b5894c396e60d,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,internvl3-train,model.num_query_groups,-2,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-25d74c2169c54eae,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,internvl3-train,model.num_query_groups,-6,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-88e2dd026b7abe9f,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,internvl3-train,model.num_query_groups,10,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-b1047f9565c05153,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_query_groups,3,2,native_validator_guided;raw_mutation,rq3-current-deepspeed-e4c429234f6a2d53,process_group_initialization,RuntimeError: Number of heads in key and value must divide the number of heads in
deepspeed,internvl3-train,model.num_query_groups,5,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-e42844449a507ba8,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,model.num_query_groups,6,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-332633fd438bc6a5,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,internvl3-train,multimodal.downsample_ratio,-0.5,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-a882ea02f6ca78cb,process_group_initialization,"RuntimeError: invalid shape dimension -<N> at index <N> of shape [<N>, <N>, -<N>, -<N>]"
deepspeed,internvl3-train,multimodal.downsample_ratio,0.0,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-d214095602dcdcf2,argument_parsing,ZeroDivisionError: float division by zero
deepspeed,internvl3-train,multimodal.downsample_ratio,0.125,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-edccd3509a605ed0,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.image_size,56,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-26f83483a0b07e93,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.image_size,60,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-0d8ba960cf13dbd2,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.image_size,61,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-5c1adaeb5fa0abb5,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.num_channels,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-0c5ab44fd9773c92,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>, <N>, <N>]"
deepspeed,internvl3-train,multimodal.num_channels,-5,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-1255d0bd9767efa0,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>, <N>, <N>]"
deepspeed,internvl3-train,multimodal.patch_size,12,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-da5900749f59dd67,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.patch_size,17,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-e22a5cc3b73fad80,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.patch_size,18,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-5b27ef7ce5d4c29b,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.patch_size,19,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-f30b58ee73c67e7a,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.patch_size,20,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-c51810bfef7554db,process_group_initialization,"RuntimeError: shape '[<N>, <N>, <N>, <N>]' is invalid for input of size <N>"
deepspeed,internvl3-train,multimodal.vision_num_attention_heads,-4,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-7bb77b037487d923,process_group_initialization,"RuntimeError: invalid shape dimension -<N> at index <N> of shape [<N>, <N>, -<N>, -<N>]"
deepspeed,internvl3-train,multimodal.vision_num_attention_heads,0,4,configfuzz;global_repair;native_validator_guided;raw_mutation,rq3-current-deepspeed-d0e5ba7f8f6ab8af,argument_parsing,ZeroDivisionError: integer division or modulo by zero
deepspeed,llama2-train,model.ffn_hidden_size,-1,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-1ae555111e13e0a7,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [-<N>, <N>]"
deepspeed,llama2-train,model.hidden_size,-1,1,global_repair,rq3-current-deepspeed-9e49c1a8e788f3f6,argument_parsing,"RuntimeError: Trying to create tensor with negative dimension -<N>: [<N>, -<N>]"
deepspeed,llama2-train,model.hidden_size,504,6,configfuzz;constraint_filter_only;global_repair;native_validator_guided;raw_mutation;static_hard_configfuzz,rq3-current-deepspeed-50ef016f1cd8252d,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,llama2-train,model.hidden_size,508,3,configfuzz;global_repair;static_hard_configfuzz,rq3-current-deepspeed-76e11bbace507fe9,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,llama2-train,model.hidden_size,509,1,global_repair,rq3-current-deepspeed-321a0a891be2729e,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
deepspeed,llama2-train,model.hidden_size,510,3,configfuzz;global_repair;static_hard_configfuzz,rq3-current-deepspeed-b259d547d8a3716c,process_group_initialization,RuntimeError: The size of tensor a (<N>) must match the size of tensor b (<N>) at non-singleton dimension <N>
